Dependente,Independente,Modelo,Grupo,R2 médio,R2 desvio,MSE médio,MSE desvio,Tempo de execução
Total de beneficiários,Bloco saúde completo,Regressão linear,1,0.09237,0.014285,0.001205,0.000245,0.01266
Repasse por população,Bloco renda individual,MLP,1,0.092265,0.019644,0.014445,0.001822,41.141574
População beneficiária,Blocos individuais,MLP,0,0.088863,0.047257,0.022426,0.001676,40.400615
Repasse por população,Bloco saúde resumido,Regressão linear,1,0.088596,0.027541,0.009698,0.000883,0.010003
População beneficiária,Idese,Regressão linear,0,0.087822,0.011169,0.00808,0.000381,0.012465
Repasse por população,Bloco educação individual,MLP,2,0.086956,0.028116,0.005675,0.000339,30.340925
Valor total repassado,Bloco saúde completo,Regressão linear,1,0.084096,0.013648,0.001148,0.000378,0.013582
Repasse por população,Bloco saúde individual,MLP,2,0.082555,0.030736,0.012301,0.001285,23.179542
Repasse por beneficiário,Todos atributos independentes,Regressão linear,1,0.081041,0.013726,0.005379,0.000456,0.017636
Repasse por população,Blocos individuais,MLP,1,0.080961,0.04833,0.006197,0.000636,46.045141
Repasse por beneficiário,Bloco saúde completo,MLP,0,0.079917,0.040235,0.004026,0.000318,39.911877
Valor total repassado,Bloco saúde resumido,Regressão linear,0,0.07961,0.010135,0.010265,0.001584,0.009547
Repasse por população,Blocos individuais,Regressão linear,1,0.079381,0.003395,0.006199,0.00044,0.009799
População beneficiária,Bloco renda completo,Regressão linear,1,0.0768,0.023635,0.022126,0.001323,0.009392
Repasse por população,Bloco saúde completo,Regressão linear,1,0.076749,0.019858,0.010231,0.000359,0.011849
População beneficiária,Idese,XGBoost,0,0.076582,0.025829,0.008179,0.000433,0.866979
Repasse por população,Bloco saúde resumido,MLP,0,0.075407,0.045802,0.013322,0.001445,41.636081
População beneficiária,Bloco saúde individual,MLP,0,0.074159,0.010093,0.007703,0.000312,46.19073
Repasse por população,Bloco renda completo,MLP,0,0.070782,0.03781,0.01487,0.001327,44.555033
Repasse por população,Bloco saúde individual,Regressão linear,0,0.069836,0.033196,0.004804,0.000222,0.01027
Repasse por população,Bloco saúde completo,MLP,0,0.069271,0.024464,0.013121,0.000888,41.45769
População beneficiária,Bloco saúde completo,Regressão linear,0,0.066597,0.021291,0.026784,0.000712,0.013076
Repasse por beneficiário,Todos atributos independentes,XGBoost,1,0.063462,0.045657,0.005473,0.000428,3.781876
População beneficiária,Bloco educação resumido,Regressão linear,1,0.063092,0.017273,0.026671,0.00134,0.0099
Repasse por população,Idese,MLP,1,0.062278,0.009518,0.004336,0.00026,43.576102
População beneficiária,Bloco educação completo,Regressão linear,0,0.061668,0.006364,0.028587,0.001116,0.013914
Repasse por população,Bloco saúde resumido,Regressão linear,0,0.060395,0.021812,0.013515,0.001099,0.011181
População beneficiária,Bloco saúde individual,Regressão linear,0,0.060308,0.006922,0.007817,0.000287,0.010092
Total de beneficiários,Bloco saúde individual,Regressão linear,1,0.059672,0.008752,0.000277,4.7e-05,0.010164
Repasse por população,Bloco saúde individual,MLP,0,0.05892,0.038336,0.004859,0.000192,37.228827
População beneficiária,Bloco saúde individual,MLP,1,0.057693,0.014831,0.020332,0.000826,40.732497
População beneficiária,Bloco saúde completo,MLP,1,0.054735,0.027175,0.015507,0.000466,42.045532
Repasse por população,Bloco educação individual,Regressão linear,2,0.052898,0.014678,0.00589,0.000386,0.010319
População beneficiária,Bloco saúde individual,Regressão linear,1,0.052472,0.011216,0.020445,0.000805,0.010102
Total de beneficiários,Bloco renda completo,XGBoost,0,0.05204,0.307754,0.016744,0.00573,0.715326
População beneficiária,Bloco saúde resumido,Regressão linear,1,0.051176,0.005079,0.010898,0.000431,0.012089
Total de beneficiários,Bloco saúde resumido,Regressão linear,1,0.051057,0.006833,0.000812,0.000307,0.010007
Repasse por beneficiário,Blocos individuais,Regressão linear,0,0.048795,0.016673,0.003899,0.000129,0.012549
Repasse por beneficiário,Bloco saúde completo,Regressão linear,0,0.048361,0.014222,0.00416,0.000207,0.013608
População beneficiária,Bloco renda individual,MLP,1,0.047643,0.01447,0.019435,0.000714,39.134392
Repasse por população,Blocos individuais,MLP,0,0.046928,0.018386,0.015273,0.001314,40.437023
Total de beneficiários,Bloco saúde individual,MLP,2,0.046856,0.006953,0.001883,8.3e-05,39.722243
População beneficiária,Blocos individuais,Regressão linear,0,0.045787,0.014527,0.023473,0.001059,0.011199
Valor total repassado,Bloco renda individual,Regressão linear,0,0.043756,0.043444,0.026861,0.003797,0.009943
Repasse por população,Bloco saúde individual,MLP,1,0.043677,0.017664,0.00292,0.00012,40.591128
Repasse por população,Blocos individuais,Regressão linear,0,0.043561,0.020589,0.015331,0.001374,0.012386
Repasse por beneficiário,Bloco educação completo,Regressão linear,1,0.043418,0.016193,0.00541,0.000298,0.012326
Valor total repassado,Bloco saúde individual,Regressão linear,1,0.042956,0.01094,0.000409,4.9e-05,0.010491
Repasse por beneficiário,Bloco educação resumido,MLP,1,0.042679,0.007959,0.005377,0.000287,58.799098
Repasse por beneficiário,Bloco educação completo,MLP,1,0.041939,0.017965,0.005418,0.000277,57.164677
Total de beneficiários,Bloco saúde individual,Regressão linear,2,0.041937,0.00593,0.001893,9.3e-05,0.010359
Valor total repassado,Bloco saúde resumido,Regressão linear,1,0.041766,0.010908,0.000782,0.000326,0.010784
Repasse por população,Idese,Regressão linear,0,0.040924,0.010536,0.015419,0.00185,0.010305
População beneficiária,Bloco saúde completo,Regressão linear,1,0.040697,0.003899,0.015747,0.000597,0.011463
Total de beneficiários,Bloco renda completo,MLP,2,0.03851,0.010494,0.001522,6e-05,44.120307
Repasse por beneficiário,Bloco educação resumido,Regressão linear,1,0.036061,0.010458,0.005415,0.000311,0.010302
Repasse por beneficiário,Bloco renda completo,Regressão linear,1,0.034685,0.01651,0.004639,0.000281,0.009543
Repasse por beneficiário,Bloco renda completo,MLP,1,0.034488,0.010427,0.00464,0.000281,43.720557
Repasse por população,Idese,XGBoost,0,0.034032,0.041017,0.015523,0.001923,0.884394
Repasse por população,Bloco saúde completo,Regressão linear,0,0.032651,0.014612,0.01363,0.000766,0.013143
Valor total repassado,Bloco renda completo,MLP,0,0.029659,0.091796,0.026147,0.003995,16.694746
Repasse por população,Bloco saúde individual,Regressão linear,1,0.029089,0.014897,0.002963,9.9e-05,0.00905
Repasse por beneficiário,Bloco saúde resumido,MLP,0,0.02892,0.017183,0.004248,0.000205,32.583963
Repasse por população,Bloco renda individual,XGBoost,1,0.028432,0.028318,0.015461,0.001976,0.915573
Repasse por população,Idese,Regressão linear,1,0.026264,0.006116,0.004504,0.000279,0.010265
Valor total repassado,Bloco saúde individual,Regressão linear,2,0.026215,0.014996,0.001824,0.000211,0.01006
Total de beneficiários,Bloco saúde individual,XGBoost,2,0.025762,0.034794,0.001922,2.9e-05,0.764487
Repasse por população,Bloco renda completo,Regressão linear,0,0.02573,0.01081,0.015611,0.0015,0.012037
Repasse por beneficiário,Bloco saúde completo,MLP,1,0.025496,0.015734,0.005666,0.000351,47.533929
Repasse por beneficiário,Bloco saúde resumido,MLP,1,0.025218,0.008647,0.005767,0.000603,44.681715
Repasse por beneficiário,Idese,Regressão linear,1,0.024201,0.011626,0.004064,0.000339,0.010708
Repasse por beneficiário,Bloco renda completo,Regressão linear,0,0.024081,0.009134,0.005429,0.000347,0.009428
Total de beneficiários,Idese,Regressão linear,1,0.023441,0.006272,0.000989,0.000123,0.009122
Repasse por beneficiário,Bloco saúde resumido,Regressão linear,0,0.022689,0.009376,0.004274,0.000177,0.011684
Repasse por beneficiário,Bloco renda completo,MLP,0,0.020548,0.003889,0.005453,0.000402,41.652534
Valor total repassado,Bloco saúde individual,MLP,2,0.019372,0.01795,0.001838,0.000222,40.894285
Total de beneficiários,Bloco saúde individual,XGBoost,1,0.018725,0.020806,0.000288,4.4e-05,0.606047
Total de beneficiários,Bloco saúde resumido,MLP,1,0.01828,0.031501,0.000837,0.000307,43.42579
Valor total repassado,Idese,Regressão linear,2,0.018034,0.012873,0.001114,0.000173,0.010214
Total de beneficiários,Bloco renda completo,MLP,1,0.017804,0.047516,0.001287,0.000235,40.6788
Valor total repassado,Bloco renda individual,Regressão linear,1,0.017749,0.004955,0.00097,9.8e-05,0.011808
População beneficiária,Bloco renda individual,Regressão linear,0,0.017726,0.008583,0.008644,0.000191,0.009328
Total de beneficiários,Bloco renda individual,Regressão linear,1,0.01741,0.003619,0.001184,0.000103,0.012648
Repasse por beneficiário,Bloco educação individual,MLP,0,0.017024,0.013135,0.003442,0.000276,37.676078
População beneficiária,Bloco educação individual,Regressão linear,1,0.016878,0.008444,0.020462,0.001123,0.010197
Repasse por população,Bloco saúde individual,XGBoost,0,0.01632,0.031853,0.005089,0.000363,0.763119
População beneficiária,Bloco saúde resumido,XGBoost,0,0.015937,0.043834,0.026035,0.001018,1.71851
Repasse por população,Bloco saúde individual,Regressão linear,2,0.014696,0.015223,0.013248,0.001641,0.008914
Total de beneficiários,Bloco educação individual,Regressão linear,1,0.014144,0.005525,0.001169,0.000126,0.009396
Repasse por beneficiário,Bloco saúde completo,Regressão linear,1,0.01377,0.009433,0.005734,0.00035,0.013239
Valor total repassado,Bloco saúde individual,XGBoost,2,0.013735,0.027005,0.00185,0.000241,0.8176
Repasse por população,Idese,XGBoost,1,0.013361,0.010663,0.004561,0.000239,0.760863
Repasse por beneficiário,Bloco educação individual,Regressão linear,0,0.0131,0.010887,0.003456,0.000283,0.010015
Total de beneficiários,Bloco renda completo,Regressão linear,1,0.01268,0.006448,0.001291,0.000208,0.01153
Repasse por beneficiário,Bloco renda individual,Regressão linear,1,0.010895,0.004394,0.00462,0.000117,0.010244
População beneficiária,Bloco educação individual,Regressão linear,0,0.010138,0.004212,0.009765,0.00047,0.010487
População beneficiária,Bloco saúde individual,XGBoost,0,0.009601,0.021867,0.008241,0.000386,0.880791
Total de beneficiários,Bloco renda completo,Regressão linear,2,0.009176,0.004175,0.001569,7.1e-05,0.010276
Repasse por população,Bloco renda individual,MLP,0,0.008871,0.020531,0.004567,0.000285,46.106819
Repasse por beneficiário,Blocos individuais,Regressão linear,1,0.008289,0.004035,0.005756,0.000444,0.010348
Repasse por beneficiário,Bloco saúde resumido,Regressão linear,1,0.007422,0.003318,0.005871,0.000594,0.010288
Repasse por população,Bloco renda individual,Regressão linear,1,0.00697,0.010217,0.015816,0.002113,0.01015
Valor total repassado,Bloco renda completo,Regressão linear,1,0.006303,0.006198,0.001536,0.000227,0.00942
Valor total repassado,Bloco educação individual,Regressão linear,1,0.005401,0.002075,0.001152,0.000146,0.009934
Valor total repassado,Idese,MLP,2,0.003182,0.024455,0.001132,0.000183,43.885209
Valor total repassado,Bloco renda completo,MLP,2,0.002761,0.006571,0.001436,0.000116,42.674243
Repasse por população,Bloco educação individual,Regressão linear,0,0.00244,0.028808,0.013106,0.002613,0.009534
Repasse por beneficiário,Idese,Regressão linear,0,0.001741,0.003577,0.005708,0.000397,0.011181
População beneficiária,Bloco renda individual,Regressão linear,1,0.001288,0.004866,0.020383,0.000772,0.009256
Repasse por população,Bloco educação individual,Regressão linear,1,0.00116,0.004114,0.002998,0.000104,0.011243
Total de beneficiários,Idese,MLP,2,0.001159,0.002849,0.001592,0.00011,39.528544
Repasse por beneficiário,Bloco saúde individual,Regressão linear,0,0.00099,0.002457,0.004372,0.000194,0.011005
Total de beneficiários,Bloco educação individual,Regressão linear,0,0.000662,0.059678,0.019785,0.00359,0.010379
Valor total repassado,Bloco renda completo,Regressão linear,2,0.000494,0.002595,0.001439,0.000122,0.010911
População beneficiária,Idese,MLP,1,0.0001,0.011602,0.020781,0.001029,40.285095
Repasse por beneficiário,Bloco saúde individual,Regressão linear,1,6.2e-05,0.001846,0.005872,0.000462,0.010568
Valor total repassado,Todos atributos independentes,MLP,0,-0.000532,0.000404,0.009499,0.00098,41.121397
Total de beneficiários,Idese,Regressão linear,2,-0.00097,0.002318,0.001595,0.000106,0.010157
Repasse por beneficiário,Bloco saúde individual,MLP,1,-0.001152,0.000967,0.005879,0.000456,43.511552
População beneficiária,Idese,Regressão linear,1,-0.001169,0.001191,0.020804,0.000921,0.010546
Repasse por população,Bloco renda individual,Regressão linear,0,-0.001203,0.001046,0.004611,0.000229,0.00946
Total de beneficiários,Bloco saúde completo,MLP,1,-0.001207,0.001669,0.001327,0.000257,44.915733
População beneficiária,Bloco saúde resumido,MLP,1,-0.001338,0.001613,0.011503,0.00048,43.705564
Repasse por beneficiário,Blocos individuais,MLP,1,-0.001431,0.001982,0.005813,0.000452,46.031091
População beneficiária,Bloco saúde resumido,MLP,0,-0.001461,0.001206,0.02651,0.000681,42.392049
Repasse por população,Bloco educação completo,MLP,0,-0.001497,0.001657,0.015343,0.000969,38.213457
População beneficiária,Bloco renda completo,MLP,1,-0.001508,0.000974,0.023985,0.000955,38.848663
Repasse por beneficiário,Bloco saúde individual,MLP,0,-0.001615,0.00155,0.004384,0.000196,40.7236
Repasse por população,Bloco educação completo,MLP,1,-0.002004,0.001294,0.012006,0.000529,49.635082
Total de beneficiários,Bloco saúde resumido,XGBoost,0,-0.002024,0.086181,0.010879,0.001336,1.620325
População beneficiária,Bloco renda individual,MLP,0,-0.002029,0.002521,0.008817,0.000148,46.735462
Valor total repassado,Bloco renda completo,MLP,1,-0.002035,0.001624,0.001548,0.000221,41.682575
População beneficiária,Bloco renda completo,MLP,0,-0.002086,0.001092,0.011362,0.000368,46.020448
Valor total repassado,Todos atributos independentes,MLP,1,-0.002388,0.002834,0.003125,0.000968,45.744362
Total de beneficiários,Bloco educação completo,MLP,1,-0.002417,0.00296,0.00341,0.000735,51.72937
Repasse por beneficiário,Bloco renda individual,MLP,1,-0.002448,0.001612,0.004682,0.000111,41.928248
Repasse por população,Bloco renda completo,MLP,1,-0.002517,0.001949,0.006914,0.000514,41.551433
Repasse por beneficiário,Idese,MLP,0,-0.00313,0.002583,0.005735,0.000381,48.514096
Repasse por beneficiário,Bloco renda individual,Regressão linear,0,-0.003402,0.006285,0.005521,0.000392,0.010021
Valor total repassado,Bloco renda individual,MLP,1,-0.003629,0.005169,0.000991,0.000102,71.510864
Repasse por beneficiário,Bloco educação individual,Regressão linear,1,-0.003771,0.003709,0.005682,0.000572,0.009476
Valor total repassado,Bloco saúde resumido,MLP,1,-0.003885,0.003863,0.00082,0.000345,44.49332
Repasse por população,Idese,MLP,0,-0.004124,0.004676,0.016154,0.002029,41.281185
Repasse por beneficiário,Blocos individuais,MLP,0,-0.00428,0.00585,0.004116,0.000107,41.206801
População beneficiária,Bloco educação individual,MLP,1,-0.004438,0.00535,0.020913,0.001276,37.736695
Valor total repassado,Blocos individuais,MLP,0,-0.004446,0.004088,0.010232,0.002715,39.826869
Total de beneficiários,Bloco educação completo,MLP,0,-0.004571,0.004605,0.010952,0.001135,35.807592
População beneficiária,Bloco educação individual,MLP,0,-0.004694,0.003495,0.009912,0.000495,50.639663
Valor total repassado,Idese,Regressão linear,1,-0.004726,0.006015,0.001553,0.000254,0.010348
População beneficiária,Bloco educação individual,XGBoost,0,-0.00477,0.022405,0.009904,0.000336,0.832068
Repasse por beneficiário,Idese,MLP,1,-0.004989,0.004586,0.004184,0.000323,39.680863
Total de beneficiários,Bloco educação individual,MLP,1,-0.005079,0.004366,0.001191,0.000124,71.319937
Repasse por população,Bloco saúde individual,XGBoost,1,-0.005284,0.028475,0.003068,0.000122,0.770533
Valor total repassado,Bloco educação individual,MLP,1,-0.005322,0.003738,0.001165,0.00015,72.628865
Repasse por beneficiário,Bloco renda individual,MLP,0,-0.005332,0.005195,0.005532,0.000397,44.578327
Total de beneficiários,Bloco educação individual,MLP,0,-0.005393,0.051133,0.019811,0.00304,17.104296
Repasse por beneficiário,Bloco educação individual,MLP,1,-0.005626,0.011543,0.005691,0.000562,55.247142
Total de beneficiários,Bloco renda individual,MLP,1,-0.006447,0.006609,0.001213,0.00011,70.277528
Valor total repassado,Bloco renda individual,MLP,0,-0.006967,0.006914,0.028353,0.004235,17.664583
Total de beneficiários,Idese,MLP,1,-0.007135,0.007484,0.00102,0.000131,44.425229
Valor total repassado,Blocos individuais,MLP,1,-0.00802,0.00908,0.002578,0.000645,47.45426
Valor total repassado,Bloco saúde completo,MLP,1,-0.008144,0.011188,0.001257,0.000398,45.826122
Valor total repassado,Blocos individuais,XGBoost,0,-0.008727,0.102286,0.010009,0.001514,1.701859
Valor total repassado,Bloco saúde individual,MLP,1,-0.010693,0.010881,0.000433,5.6e-05,43.764229
Total de beneficiários,Bloco saúde individual,Regressão linear,0,-0.011105,0.008445,0.01768,0.002108,0.010414
Valor total repassado,Bloco renda individual,XGBoost,1,-0.012041,0.008343,0.000998,9.2e-05,0.716356
Valor total repassado,Bloco educação individual,Regressão linear,0,-0.012284,0.016147,0.028157,0.004303,0.010678
Total de beneficiários,Bloco saúde individual,MLP,1,-0.012595,0.013494,0.000298,4.9e-05,44.423623
Total de beneficiários,Bloco saúde individual,MLP,0,-0.012958,0.036096,0.017668,0.001808,16.925267
Valor total repassado,Bloco saúde individual,MLP,0,-0.014095,0.023811,0.028179,0.007406,17.204986
Repasse por população,Bloco saúde completo,XGBoost,0,-0.014751,0.042396,0.014287,0.000789,2.109528
População beneficiária,Bloco saúde individual,XGBoost,1,-0.015041,0.036217,0.021887,0.000795,0.975837
