Dependente,Independente,Modelo,Grupo,R2 médio,R2 desvio,MSE médio,MSE desvio,Tempo de execução
Valor total repassado,Bloco saúde individual,MLP,0,-0.087639,0.139168,0.029238,0.005317,16.639323
Valor total repassado,Bloco saúde individual,XGBoost,0,-0.889457,0.350518,0.052894,0.019227,0.904228
Valor total repassado,Bloco saúde resumido,Regressão linear,0,0.040339,0.015589,0.025185,0.007199,0.010487
Valor total repassado,Bloco saúde resumido,MLP,0,0.032655,0.020068,0.025414,0.007378,22.759047
Valor total repassado,Bloco saúde resumido,XGBoost,0,-0.036415,0.217706,0.026101,0.005130,1.474862
Valor total repassado,Bloco saúde completo,Regressão linear,0,0.081379,0.024342,0.008820,0.001903,0.011940
Valor total repassado,Bloco saúde completo,MLP,0,-0.003625,0.004023,0.009590,0.001844,32.638049
Valor total repassado,Bloco saúde completo,XGBoost,0,0.115033,0.100920,0.008459,0.001804,2.000764
Valor total repassado,Todos atributos independentes,Regressão linear,0,0.385658,0.026256,0.006585,0.001278,0.015490
Valor total repassado,Todos atributos independentes,MLP,0,-0.002998,0.002146,0.010797,0.002230,33.008564
Valor total repassado,Todos atributos independentes,XGBoost,0,0.745555,0.030324,0.002715,0.000572,2.581821
População beneficiária,Idese,Regressão linear,0,0.232237,0.021386,0.004660,0.000174,0.010901
População beneficiária,Idese,MLP,0,-0.005350,0.003684,0.006103,0.000163,34.729631
População beneficiária,Idese,XGBoost,0,0.150452,0.022123,0.005158,0.000208,0.802126
População beneficiária,Blocos individuais,Regressão linear,0,0.111154,0.008176,0.009475,0.000303,0.012130
População beneficiária,Blocos individuais,MLP,0,-0.003048,0.003026,0.010693,0.000369,45.014105
População beneficiária,Blocos individuais,XGBoost,0,-0.033841,0.028235,0.011013,0.000187,1.625751
População beneficiária,Bloco educação individual,Regressão linear,0,0.387921,0.036200,0.003815,0.000278,0.010410
População beneficiária,Bloco educação individual,MLP,0,0.372884,0.025573,0.003904,0.000145,36.544736
População beneficiária,Bloco educação individual,XGBoost,0,0.332002,0.036220,0.004162,0.000261,0.789315
População beneficiária,Bloco educação resumido,Regressão linear,0,0.142649,0.023247,0.011573,0.000925,0.009834
População beneficiária,Bloco educação resumido,MLP,0,-0.001717,0.002150,0.013514,0.000918,37.342854
População beneficiária,Bloco educação resumido,XGBoost,0,0.211572,0.043191,0.010641,0.000972,1.625036
População beneficiária,Bloco educação completo,Regressão linear,0,0.121221,0.039248,0.024725,0.002597,0.011787
População beneficiária,Bloco educação completo,MLP,0,-0.006274,0.006889,0.028299,0.002582,29.641399
População beneficiária,Bloco educação completo,XGBoost,0,0.414855,0.039981,0.016431,0.001692,1.929967
População beneficiária,Bloco renda individual,Regressão linear,0,0.136961,0.042727,0.006629,0.000107,0.009618
População beneficiária,Bloco renda individual,MLP,0,0.166351,0.081035,0.006394,0.000436,33.664119
População beneficiária,Bloco renda individual,XGBoost,0,0.104033,0.058466,0.006880,0.000258,0.904567
População beneficiária,Bloco renda completo,Regressão linear,0,0.058214,0.026037,0.008171,0.000485,0.010761
População beneficiária,Bloco renda completo,MLP,0,-0.004774,0.001254,0.008716,0.000418,37.494380
População beneficiária,Bloco renda completo,XGBoost,0,-0.224544,0.076821,0.010629,0.000931,1.451297
População beneficiária,Bloco saúde individual,Regressão linear,0,0.060308,0.006922,0.007817,0.000287,0.011991
População beneficiária,Bloco saúde individual,MLP,0,0.072346,0.014367,0.007719,0.000351,43.546358
População beneficiária,Bloco saúde individual,XGBoost,0,0.009601,0.021867,0.008241,0.000386,0.922451
População beneficiária,Bloco saúde resumido,Regressão linear,0,0.100843,0.022065,0.009460,0.000392,0.009662
População beneficiária,Bloco saúde resumido,MLP,0,-0.011626,0.010723,0.010655,0.000637,35.448231
População beneficiária,Bloco saúde resumido,XGBoost,0,-0.038129,0.087444,0.010881,0.000379,1.523192
População beneficiária,Bloco saúde completo,Regressão linear,0,0.141461,0.015849,0.011148,0.000516,0.011417
População beneficiária,Bloco saúde completo,MLP,0,-0.002514,0.004088,0.013018,0.000567,30.001024
População beneficiária,Bloco saúde completo,XGBoost,0,0.134529,0.070090,0.011227,0.000914,1.986399
População beneficiária,Todos atributos independentes,Regressão linear,0,0.002916,0.308836,0.027527,0.007921,0.014976
População beneficiária,Todos atributos independentes,MLP,0,-0.010505,0.011180,0.028170,0.002088,25.269642
População beneficiária,Todos atributos independentes,XGBoost,0,0.482110,0.043431,0.014479,0.001997,2.351608
Repasse por beneficiário,Idese,Regressão linear,0,0.024201,0.011626,0.004064,0.000339,0.010322
Repasse por beneficiário,Idese,MLP,0,0.023030,0.013531,0.004066,0.000309,40.673985
Repasse por beneficiário,Idese,XGBoost,0,-0.037653,0.021704,0.004323,0.000385,0.798476
Repasse por beneficiário,Blocos individuais,Regressão linear,0,0.010007,0.006769,0.004503,0.000328,0.011709
Repasse por beneficiário,Blocos individuais,MLP,0,0.002747,0.018055,0.004537,0.000342,32.413846
Repasse por beneficiário,Blocos individuais,XGBoost,0,-0.309449,0.045130,0.005946,0.000322,1.571967
Repasse por beneficiário,Bloco educação individual,Regressão linear,0,0.000712,0.005254,0.003996,0.000270,0.009386
Repasse por beneficiário,Bloco educação individual,MLP,0,-0.005396,0.004445,0.004020,0.000272,31.711290
Repasse por beneficiário,Bloco educação individual,XGBoost,0,-0.100672,0.048157,0.004391,0.000198,0.719194
Repasse por beneficiário,Bloco educação resumido,Regressão linear,0,0.196167,0.035345,0.002044,0.000279,0.011095
Repasse por beneficiário,Bloco educação resumido,MLP,0,0.195128,0.050131,0.002045,0.000275,33.150964
Repasse por beneficiário,Bloco educação resumido,XGBoost,0,0.165506,0.066213,0.002103,0.000152,1.563502
Repasse por beneficiário,Bloco educação completo,Regressão linear,0,0.264639,0.030491,0.002125,0.000257,0.010763
Repasse por beneficiário,Bloco educação completo,MLP,0,0.306867,0.054544,0.002008,0.000309,37.165208
Repasse por beneficiário,Bloco educação completo,XGBoost,0,0.397762,0.057111,0.001732,0.000198,1.874757
Repasse por beneficiário,Bloco renda individual,Regressão linear,0,0.004597,0.003725,0.005341,0.000259,0.009123
Repasse por beneficiário,Bloco renda individual,MLP,0,-0.003061,0.005409,0.005382,0.000251,37.214092
Repasse por beneficiário,Bloco renda individual,XGBoost,0,-0.049372,0.040967,0.005624,0.000223,0.881745
Repasse por beneficiário,Bloco renda completo,Regressão linear,0,0.018718,0.012011,0.005700,0.001080,0.010726
Repasse por beneficiário,Bloco renda completo,MLP,0,-0.011034,0.027793,0.005878,0.001154,35.694856
Repasse por beneficiário,Bloco renda completo,XGBoost,0,-0.440083,0.130634,0.008230,0.000730,1.536209
Repasse por beneficiário,Bloco saúde individual,Regressão linear,0,0.007158,0.006351,0.004425,0.000269,0.011190
Repasse por beneficiário,Bloco saúde individual,MLP,0,-0.002034,0.003470,0.004465,0.000257,36.164968
Repasse por beneficiário,Bloco saúde individual,XGBoost,0,-0.094934,0.066858,0.004888,0.000500,0.732893
Repasse por beneficiário,Bloco saúde resumido,Regressão linear,0,0.006474,0.010245,0.004456,0.000214,0.010885
Repasse por beneficiário,Bloco saúde resumido,MLP,0,0.008329,0.014123,0.004447,0.000203,34.816430
Repasse por beneficiário,Bloco saúde resumido,XGBoost,0,-0.373940,0.057230,0.006154,0.000209,1.560968
Repasse por beneficiário,Bloco saúde completo,Regressão linear,0,0.048361,0.014222,0.004160,0.000207,0.012531
Repasse por beneficiário,Bloco saúde completo,MLP,0,0.067284,0.032830,0.004080,0.000291,41.671224
Repasse por beneficiário,Bloco saúde completo,XGBoost,0,-0.043452,0.029974,0.004563,0.000277,2.253361
Repasse por beneficiário,Todos atributos independentes,Regressão linear,0,0.206356,0.035551,0.003637,0.000366,0.016299
Repasse por beneficiário,Todos atributos independentes,MLP,0,0.186566,0.056638,0.003735,0.000495,33.558519
Repasse por beneficiário,Todos atributos independentes,XGBoost,0,0.217752,0.048762,0.003579,0.000328,2.928459
Repasse por população,Idese,Regressão linear,0,0.086059,0.010382,0.003900,0.000218,0.009545
Repasse por população,Idese,MLP,0,0.027771,0.102724,0.004136,0.000362,26.849106
Repasse por população,Idese,XGBoost,0,-0.018952,0.049993,0.004351,0.000364,0.796368
Repasse por população,Blocos individuais,Regressão linear,0,0.029617,0.013140,0.017903,0.001833,0.011293
Repasse por população,Blocos individuais,MLP,0,-0.003310,0.005831,0.018496,0.001707,34.871254
Repasse por população,Blocos individuais,XGBoost,0,-0.039289,0.046511,0.019123,0.001535,1.552453
Repasse por população,Bloco educação individual,Regressão linear,0,0.052898,0.014678,0.005890,0.000386,0.010032
Repasse por população,Bloco educação individual,MLP,0,-0.001969,0.003454,0.006231,0.000395,33.062125
Repasse por população,Bloco educação individual,XGBoost,0,-0.026643,0.058181,0.006373,0.000377,0.755991
Repasse por população,Bloco educação resumido,Regressão linear,0,0.036277,0.022671,0.007720,0.001060,0.010803
Repasse por população,Bloco educação resumido,MLP,0,-0.003801,0.002721,0.008052,0.001160,23.773718
Repasse por população,Bloco educação resumido,XGBoost,0,0.029769,0.117633,0.007659,0.000381,1.353136
Repasse por população,Bloco educação completo,Regressão linear,0,0.093176,0.019817,0.008132,0.000719,0.009588
Repasse por população,Bloco educação completo,MLP,0,0.133333,0.039471,0.007762,0.000656,27.752706
Repasse por população,Bloco educação completo,XGBoost,0,0.343309,0.082705,0.005829,0.000328,1.556928
Repasse por população,Bloco renda individual,Regressão linear,0,0.028833,0.013931,0.004211,0.000492,0.010669
Repasse por população,Bloco renda individual,MLP,0,0.021264,0.013648,0.004243,0.000488,35.666754
Repasse por população,Bloco renda individual,XGBoost,0,-0.020035,0.047838,0.004409,0.000432,0.728447
Repasse por população,Bloco renda completo,Regressão linear,0,-0.000837,0.014206,0.011877,0.002065,0.009715
Repasse por população,Bloco renda completo,MLP,0,0.017999,0.013969,0.011665,0.002110,20.002824
Repasse por população,Bloco renda completo,XGBoost,0,-0.222029,0.197727,0.014292,0.002085,1.373246
Repasse por população,Bloco saúde individual,Regressão linear,0,0.069836,0.033196,0.004804,0.000222,0.010645
Repasse por população,Bloco saúde individual,MLP,0,0.040607,0.045330,0.004952,0.000196,38.118401
Repasse por população,Bloco saúde individual,XGBoost,0,0.016320,0.031853,0.005089,0.000363,0.840105
Repasse por população,Bloco saúde resumido,Regressão linear,0,0.039763,0.017881,0.004119,0.000308,0.009688
Repasse por população,Bloco saúde resumido,MLP,0,0.048993,0.044051,0.004074,0.000271,29.373395
Repasse por população,Bloco saúde resumido,XGBoost,0,-0.200414,0.100062,0.005149,0.000570,1.401334
Repasse por população,Bloco saúde completo,Regressão linear,0,0.018068,0.015476,0.013452,0.001282,0.011815
Repasse por população,Bloco saúde completo,MLP,0,0.022358,0.026619,0.013420,0.001538,33.263305
Repasse por população,Bloco saúde completo,XGBoost,0,-0.042657,0.064659,0.014253,0.001341,2.107466
Repasse por população,Todos atributos independentes,Regressão linear,0,0.160629,0.029704,0.012757,0.001240,0.015309
Repasse por população,Todos atributos independentes,MLP,0,0.261442,0.035477,0.011275,0.001601,40.116008
Repasse por população,Todos atributos independentes,XGBoost,0,0.438120,0.015998,0.008537,0.000793,3.663871
